,code,name,lot_size,stock_type
141,HK.00147,國際商業結算,5000,STOCK
142,HK.00148,建滔化工,500,STOCK
143,HK.00149,中國農產品交易,5000,STOCK
144,HK.00151,中國旺旺,1000,STOCK
145,HK.00152,深圳國際,500,STOCK
146,HK.00153,中國賽特,2000,STOCK
147,HK.00154,北京控股環境集團,1000,STOCK
148,HK.00155,中國源暢,10000,STOCK
149,HK.00156,力寶華潤,10000,STOCK
150,HK.00157,自然美,10000,STOCK
151,HK.00158,萬邦投資,500,STOCK
152,HK.00159,布萊克萬礦業,4000,STOCK
153,HK.00160,漢國置業,2000,STOCK
154,HK.00161,中航國際控股,2000,STOCK
155,HK.00162,世紀金花,2000,STOCK
156,HK.00163,英皇國際,2000,STOCK
157,HK.00164,中國寶力科技,25000,STOCK
158,HK.00165,中國光大控股,2000,STOCK
159,HK.00166,新時代能源,2000,STOCK
160,HK.00167,萬威國際,2000,STOCK
161,HK.00168,青島啤酒股份,2000,STOCK
162,HK.00169,萬達酒店發展,1000,STOCK
163,HK.00170,中國資本,5000,STOCK
164,HK.00171,銀建國際,2000,STOCK
165,HK.00172,金榜集團,10000,STOCK
166,HK.00173,嘉華國際,1000,STOCK
167,HK.00174,盛洋投資,2000,STOCK
168,HK.00175,吉利汽車,5000,STOCK
169,HK.00176,聯太工業,2000,STOCK
170,HK.00177,江蘇寧滬高速公路,2000,STOCK
171,HK.00178,莎莎國際,2000,STOCK
172,HK.00179,德昌電機控股,500,STOCK
173,HK.00180,開達集團,2000,STOCK
174,HK.00181,閩港控股,20000,STOCK
175,HK.00182,協合新能源,10000,STOCK
176,HK.00183,宏輝集團,8000,STOCK
177,HK.00184,激成投資,2000,STOCK
178,HK.00185,正恒國際控股,10000,STOCK
179,HK.00186,嘉域集團,30000,STOCK
180,HK.00187,京城機電股份,2000,STOCK
181,HK.00188,新華匯富金融,10000,STOCK
182,HK.00189,東岳集團,1000,STOCK
183,HK.00190,香港建設(控股),1000,STOCK
184,HK.00191,麗新國際,5000,STOCK
185,HK.00193,冠中地產,15000,STOCK
186,HK.00194,廖創興企業,2000,STOCK
187,HK.00195,利海資源,10000,STOCK
188,HK.00196,宏華集團,1000,STOCK
189,HK.00197,亨泰,5000,STOCK
190,HK.00198,星美控股,4000,STOCK
191,HK.00199,德祥地產,1000,STOCK
192,HK.00200,新濠國際發展,1000,STOCK
193,HK.00201,華大酒店,2000,STOCK
194,HK.00202,潤中國際控股,5000,STOCK
195,HK.00204,中國投資開發,20000,STOCK
196,HK.00205,財訊傳媒,20000,STOCK
197,HK.00206,TSC集團,1000,STOCK
198,HK.00207,大悅城地產,2000,STOCK
199,HK.00208,保利達資產,5000,STOCK
200,HK.00209,瀛晟科學,4000,STOCK
201,HK.00210,達芙妮國際,2000,STOCK
202,HK.00211,大淩集團,10000,STOCK
203,HK.00212,南洋集團,500,STOCK
204,HK.00213,樂聲電子,2000,STOCK
205,HK.00214,匯漢控股,2000,STOCK
206,HK.00215,和記電訊香港,2000,STOCK
207,HK.00216,建業實業,4000,STOCK
208,HK.00217,中國誠通發展集團,2000,STOCK
209,HK.00218,申萬宏源,5000,STOCK
210,HK.00219,順豪物業,2000,STOCK
211,HK.00220,統一企業中國,1000,STOCK
212,HK.00221,易易壹金融,20000,STOCK
213,HK.00222,閩信集團,2000,STOCK
214,HK.00223,易生活控股,2000,STOCK
215,HK.00224,建生國際,4000,STOCK
216,HK.00225,博富臨置業,2000,STOCK
217,HK.00226,力寶,1000,STOCK
218,HK.00227,第一上海,8000,STOCK
219,HK.00228,中能控股,2000,STOCK
220,HK.00229,利民實業,1000,STOCK
221,HK.00230,五礦地產,2000,STOCK
222,HK.00231,平安證券集團控股,20000,STOCK
223,HK.00232,中國航空工業國際,2000,STOCK
224,HK.00233,銘源醫療,10000,STOCK
225,HK.00234,新世紀集團,8000,STOCK
226,HK.00235,中策集團,5000,STOCK
227,HK.00236,香港生力啤,2000,STOCK
228,HK.00237,安全貨倉,2000,STOCK
229,HK.00238,長興國際,1000,STOCK
230,HK.00239,白花油,2500,STOCK
231,HK.00240,利基控股,10000,STOCK
232,HK.00241,阿里健康,2000,STOCK
233,HK.00242,信德集團,2000,STOCK
234,HK.00243,品質國際,9000,STOCK
235,HK.00244,先施,1000,STOCK
236,HK.00245,中國民生金融,10000,STOCK
237,HK.00246,瑞金礦業,500,STOCK
238,HK.00247,尖沙咀置業,2000,STOCK
239,HK.00248,香港通訊國際控股,4000,STOCK
240,HK.00250,中國數碼信息,10000,STOCK
241,HK.00251,爪哇控股,2000,STOCK
242,HK.00252,華信地產財務,2000,STOCK
243,HK.00253,順豪控股,2000,STOCK
244,HK.00254,國家聯合資源,10000,STOCK
245,HK.00255,龍記集團,2000,STOCK
246,HK.00256,冠城鐘錶珠寶,2000,STOCK
247,HK.00257,中國光大國際,1000,STOCK
248,HK.00258,湯臣集團,2000,STOCK
249,HK.00259,億都(國際控股),2000,STOCK
250,HK.00260,幸福控股,10000,STOCK
251,HK.00261,中建置地,80000,STOCK
252,HK.00262,迪臣發展國際,5000,STOCK
253,HK.00263,高富集團控股,4000,STOCK
254,HK.00264,中璽國際,4000,STOCK
255,HK.00265,東勝中國,10000,STOCK
256,HK.00266,天德地產,2000,STOCK
257,HK.00267,中信股份,1000,STOCK
258,HK.00268,金蝶國際,2000,STOCK
259,HK.00269,中國資源交通,5000,STOCK
260,HK.00270,粵海投資,2000,STOCK
261,HK.00271,丹楓控股,1000,STOCK
262,HK.00272,瑞安房地產,500,STOCK
