,code,name,lot_size,stock_type,stock_child_type,owner_stock_code
5756,HK.67146,腾讯瑞信七乙牛H.C,1000,WARRANT,BULL,HK.00700
5757,HK.67151,恒指摩通七七熊N.P,10000,WARRANT,BEAR,HK.800000
5758,HK.67156,中企瑞银七甲牛C.C,10000,WARRANT,BULL,HK.800100
5759,HK.67158,恒指高盛七乙牛K.C,10000,WARRANT,BULL,HK.800000
5760,HK.67161,恒指法兴七七熊H.P,10000,WARRANT,BEAR,HK.800000
5761,HK.67164,中企汇丰七十熊C.P,10000,WARRANT,BEAR,HK.800100
5762,HK.67167,银河汇丰八二熊A.P,100000,WARRANT,BEAR,HK.00027
5763,HK.67168,金沙汇丰八四熊B.P,40000,WARRANT,BEAR,HK.01928
5764,HK.67169,恒指高盛七乙牛L.C,10000,WARRANT,BULL,HK.800000
5765,HK.67173,恒指高盛七乙牛N.C,10000,WARRANT,BULL,HK.800000
5766,HK.67174,恒指瑞信七八熊O.P,10000,WARRANT,BEAR,HK.800000
5767,HK.67179,恒指法兴七七熊J.P,10000,WARRANT,BEAR,HK.800000
5768,HK.67181,华地汇丰七七牛A.C,20000,WARRANT,BULL,HK.01109
5769,HK.67186,恒指法兴七八熊C.P,10000,WARRANT,BEAR,HK.800000
5770,HK.67188,友邦摩通七七牛A.C,2000,WARRANT,BULL,HK.01299
5771,HK.67192,恒指法兴七六牛U.C,10000,WARRANT,BULL,HK.800000
5772,HK.67193,恒指摩通七乙牛J.C,10000,WARRANT,BULL,HK.800000
5773,HK.67194,恒指高盛七七熊U.P,10000,WARRANT,BEAR,HK.800000
5774,HK.67195,恒指瑞银七七熊N.P,10000,WARRANT,BEAR,HK.800000
5775,HK.67196,港交法兴七乙牛A.C,10000,WARRANT,BULL,HK.00388
5776,HK.67199,港交法兴七九牛B.C,10000,WARRANT,BULL,HK.00388
5777,HK.67202,腾讯法兴七六牛D.C,10000,WARRANT,BULL,HK.00700
5778,HK.67204,建行摩通七八牛A.C,1000,WARRANT,BULL,HK.00939
5779,HK.67208,中企法巴八二熊E.P,10000,WARRANT,BEAR,HK.800100
5780,HK.67210,海油汇丰八三牛B.C,10000,WARRANT,BULL,HK.00883
5781,HK.67212,中化汇丰八四熊B.P,20000,WARRANT,BEAR,HK.00386
5782,HK.67214,恒指汇丰七十熊N.P,10000,WARRANT,BEAR,HK.800000
5783,HK.67218,中寿法兴七九熊D.P,10000,WARRANT,BEAR,HK.02628
5784,HK.67220,中移法兴七九熊B.P,5000,WARRANT,BEAR,HK.00941
5785,HK.67221,恒指瑞银七八牛R.C,10000,WARRANT,BULL,HK.800000
5786,HK.67224,恒指摩通七一熊R.P,10000,WARRANT,BEAR,HK.800000
5787,HK.67225,中企摩通七六牛D.C,10000,WARRANT,BULL,HK.800100
5788,HK.67227,恒指瑞信七四牛T.C,10000,WARRANT,BULL,HK.800000
5789,HK.67229,金沙瑞信八一熊A.P,4000,WARRANT,BEAR,HK.01928
5790,HK.67230,中芯瑞信七乙牛B.C,5000,WARRANT,BULL,HK.00981
5791,HK.67231,腾讯瑞信八一牛H.C,1000,WARRANT,BULL,HK.00700
5792,HK.67232,中企摩通七七牛B.C,10000,WARRANT,BULL,HK.800100
5793,HK.67238,恒H汇丰八一牛A.C,20000,WARRANT,BULL,HK.02828
5794,HK.67239,恒H汇丰八一牛B.C,20000,WARRANT,BULL,HK.02828
5795,HK.67240,恒H汇丰七乙牛A.C,20000,WARRANT,BULL,HK.02828
5796,HK.67241,南中汇丰八一牛C.C,2000,WARRANT,BULL,HK.02822
5797,HK.67242,南中汇丰八一牛D.C,2000,WARRANT,BULL,HK.02822
5798,HK.67243,A中汇丰八一牛B.C,1000,WARRANT,BULL,HK.02823
5799,HK.67245,A中汇丰八一牛C.C,1000,WARRANT,BULL,HK.02823
5800,HK.67250,A中汇丰八一牛D.C,1000,WARRANT,BULL,HK.02823
5801,HK.67253,南中法兴七六牛A.C,2000,WARRANT,BULL,HK.02822
5802,HK.67259,恒指法兴七八熊D.P,10000,WARRANT,BEAR,HK.800000
5803,HK.67263,恒H汇丰八一牛C.C,20000,WARRANT,BULL,HK.02828
5804,HK.67264,A中法兴七六牛A.C,1000,WARRANT,BULL,HK.02823
5805,HK.67269,中化汇丰八三牛A.C,20000,WARRANT,BULL,HK.00386
5806,HK.67271,中芯汇丰八四牛A.C,5000,WARRANT,BULL,HK.00981
5807,HK.67275,恒指瑞银七六牛F.C,10000,WARRANT,BULL,HK.800000
5808,HK.67278,中企法巴七十牛B.C,10000,WARRANT,BULL,HK.800100
5809,HK.67282,中企瑞信七九熊B.P,10000,WARRANT,BEAR,HK.800100
5810,HK.67288,恒指瑞银七七牛V.C,10000,WARRANT,BULL,HK.800000
5811,HK.67297,恒指摩通七八牛P.C,10000,WARRANT,BULL,HK.800000
5812,HK.67298,港交麦银七七牛A.C,10000,WARRANT,BULL,HK.00388
5813,HK.67301,腾讯汇丰七七牛A.C,10000,WARRANT,BULL,HK.00700
5814,HK.67304,中油东亚七乙牛A.C,20000,WARRANT,BULL,HK.00857
5815,HK.67307,联想汇丰八一熊A.P,20000,WARRANT,BEAR,HK.00992
5816,HK.67309,联想东亚七乙牛B.C,20000,WARRANT,BULL,HK.00992
5817,HK.67310,农行汇丰八一牛A.C,10000,WARRANT,BULL,HK.01288
5818,HK.67315,友邦汇丰七乙牛B.C,20000,WARRANT,BULL,HK.01299
5819,HK.67316,恒指麦银八四牛C.C,10000,WARRANT,BULL,HK.800000
5820,HK.67318,汇丰瑞信七九牛A.C,4000,WARRANT,BULL,HK.00005
5821,HK.67319,恒指麦银八四牛D.C,10000,WARRANT,BULL,HK.800000
5822,HK.67320,恒指麦银八四熊A.P,10000,WARRANT,BEAR,HK.800000
5823,HK.67323,腾讯汇丰八三牛I.C,10000,WARRANT,BULL,HK.00700
5824,HK.67329,友邦汇丰八一牛A.C,20000,WARRANT,BULL,HK.01299
5825,HK.67330,友邦汇丰七七熊A.P,20000,WARRANT,BEAR,HK.01299
5826,HK.67331,中寿汇丰八三熊B.P,10000,WARRANT,BEAR,HK.02628
5827,HK.67332,港交汇丰七七熊A.P,10000,WARRANT,BEAR,HK.00388
5828,HK.67339,平安汇丰八一牛A.C,50000,WARRANT,BULL,HK.02318
5829,HK.67342,平安汇丰八一牛B.C,50000,WARRANT,BULL,HK.02318
5830,HK.67349,A中摩通七十牛A.C,1000,WARRANT,BULL,HK.02823
5831,HK.67350,瑞声汇丰八一牛A.C,50000,WARRANT,BULL,HK.02018
5832,HK.67352,汇丰摩通七甲牛C.C,4000,WARRANT,BULL,HK.00005
5833,HK.67363,恒指高盛七七牛R.C,10000,WARRANT,BULL,HK.800000
5834,HK.67364,恒指高盛七七牛S.C,10000,WARRANT,BULL,HK.800000
5835,HK.67367,恒指瑞信七七牛X.C,10000,WARRANT,BULL,HK.800000
5836,HK.67378,腾讯东亚七乙牛J.C,10000,WARRANT,BULL,HK.00700
5837,HK.67385,腾讯麦银七十牛B.C,10000,WARRANT,BULL,HK.00700
5838,HK.67386,腾讯麦银七甲牛B.C,10000,WARRANT,BULL,HK.00700
5839,HK.67392,恒指高盛七乙牛P.C,10000,WARRANT,BULL,HK.800000
5840,HK.67395,腾讯汇丰八三牛J.C,10000,WARRANT,BULL,HK.00700
5841,HK.67398,友邦法兴七甲牛A.C,2000,WARRANT,BULL,HK.01299
5842,HK.67401,友邦法兴七九牛A.C,2000,WARRANT,BULL,HK.01299
5843,HK.67402,友邦法兴七六牛A.C,2000,WARRANT,BULL,HK.01299
5844,HK.67403,中寿法兴七乙牛A.C,10000,WARRANT,BULL,HK.02628
5845,HK.67404,中寿法兴七十牛A.C,10000,WARRANT,BULL,HK.02628
5846,HK.67410,中油法兴七十牛A.C,2000,WARRANT,BULL,HK.00857
5847,HK.67411,中油法兴七七牛A.C,2000,WARRANT,BULL,HK.00857
5848,HK.67414,金沙法兴七七牛A.C,4000,WARRANT,BULL,HK.01928
5849,HK.67417,中油瑞银七十牛D.C,2000,WARRANT,BULL,HK.00857
5850,HK.67427,恒指法巴八二熊T.P,10000,WARRANT,BEAR,HK.800000
