,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date
2518,HK.16131,中油高盛七六购A.C,2000,WARRANT,CALL,HK.00857,2017-01-04
2519,HK.16133,腾讯瑞银七甲购E.C,10000,WARRANT,CALL,HK.00700,2017-05-26
2520,HK.16136,东航瑞银八一购A.C,2000,WARRANT,CALL,HK.00670,2017-05-26
2521,HK.16137,腾讯摩通七九购F.C,1000,WARRANT,CALL,HK.00700,2017-05-26
2522,HK.16138,腾讯摩通七甲购F.C,1000,WARRANT,CALL,HK.00700,2017-05-26
2523,HK.16142,恒指高盛七甲沽C.P,10000,WARRANT,PUT,HK.800000,2017-05-26
2524,HK.16144,华福海通八八购A.C,2000,WARRANT,CALL,HK.00816,2017-05-29
2525,HK.16145,银河高盛七九购A.C,10000,WARRANT,CALL,HK.00027,2017-01-04
2526,HK.16146,长和高盛七十购A.C,5000,WARRANT,CALL,HK.00001,2017-01-04
2527,HK.16147,腾讯海通八三沽B.P,10000,WARRANT,PUT,HK.00700,2017-05-29
2528,HK.16148,恒指法兴七乙沽F.P,10000,WARRANT,PUT,HK.800000,2017-05-29
2529,HK.16149,恒指法兴八一沽C.P,10000,WARRANT,PUT,HK.800000,2017-05-29
2530,HK.16150,腾讯法巴八七购B.C,10000,WARRANT,CALL,HK.00700,2017-05-29
2531,HK.16151,雅居法巴八二购A.C,2000,WARRANT,CALL,HK.03383,2017-05-29
2532,HK.16152,碧桂法巴八二购A.C,1000,WARRANT,CALL,HK.02007,2017-05-29
2533,HK.16153,中险法巴八二购A.C,2000,WARRANT,CALL,HK.02328,2017-05-29
2534,HK.16154,中银法巴八八购A.C,5000,WARRANT,CALL,HK.02388,2017-05-29
2535,HK.16155,海通高盛七十购A.C,4000,WARRANT,CALL,HK.06837,2017-01-04
2536,HK.16158,夏三汇丰七九购A.C,2000,WARRANT,CALL,HK.03188,2017-05-29
2537,HK.16159,民行汇丰七甲购A.C,500,WARRANT,CALL,HK.01988,2017-05-29
2538,HK.16160,腾讯瑞信七九购D.C,10000,WARRANT,CALL,HK.00700,2017-01-04
2539,HK.16161,吉利汇丰七甲购C.C,50000,WARRANT,CALL,HK.00175,2017-05-29
2540,HK.16165,腾讯汇丰七甲沽D.P,10000,WARRANT,PUT,HK.00700,2017-05-29
2541,HK.16166,金沙汇丰七甲购A.C,4000,WARRANT,CALL,HK.01928,2017-05-29
2542,HK.16167,海油瑞信七七购A.C,1000,WARRANT,CALL,HK.00883,2017-01-04
2543,HK.16168,平安麦银八二购A.C,5000,WARRANT,CALL,HK.02318,2017-05-29
2544,HK.16169,平安麦银七乙购B.C,500,WARRANT,CALL,HK.02318,2017-05-29
2545,HK.16170,海油麦银八十沽A.P,1000,WARRANT,PUT,HK.00883,2017-05-29
2546,HK.16171,港交海通八一购A.C,10000,WARRANT,CALL,HK.00388,2017-05-29
